#,Sistema-Modulo,Projeto-Modulo,# Projeto Hierarquia,Projeto Hierarquia,Tipo,Situação,Título,Atribuído para,Catálogo_01 (Memora - 13/2020),HET (Real),qtd_servicos,Início,Tarefa pai,Qtd. de Anexos
78601,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,[RELATORIO] ANEXO 14 - QD COMPLEMENTAR Nº 02 - ANO 2023 | Alterações,Marco Antonio Silva Pegado,,,,2023-03-29,58361,4
78540,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,ANEXO 14 - QD PRINCIPAL PARCIAL – ANO 2023 | Alterações,Marco Antonio Silva Pegado,,,,2023-03-29,58361,1
78537,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,ANEXO 14 - QD PRINCIPAL ANUAL – ANO 2023 | Alterações,Marco Antonio Silva Pegado,,,,2023-03-29,58361,1
78517,SPC - Sistema de Prestação de Contas,SCG-Integrações,65233,SCG-Integrações,Correção,Fechada,Verificar erro na importação de obrigações,Geison Leal Feitosa,,,,2023-03-29,75440,3
78489,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Criar novo atributo para documento contábil de precatório,Carlos Augusto Costa Bastos,,,,2023-03-29,58361,6
78468,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Criar nova tela para consulta e download de relatórios em retenção,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,4,2023-03-29,58361,4
78466,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,[NOVO] Tela - Consulta Lançamento de Documentos,Daniel Ricardo Dos Santos Pelusci,14-NovaFuncionalidade-Relatório(até10atrib),,1,2023-03-29,58361,6
78438,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Criação da versão 2023 e alteração do SQL relatório para DemonstrativoClasse1Classe8ForaCute2023Repository ,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-03-28,58361,2
78378,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Alteração de regra Checklist automatizado por órgão,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,4,2023-03-28,58361,0
78350,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Inclusão de relatório no DCASP e correção de erro,Carlos Augusto Costa Bastos,,,,2023-03-28,58361,4
78316,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Correção da tela Conciliação bancária,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-03-27,58361,1
78296,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implantação,Fechada,Anexo 18 - Versão 2023,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,3,2023-03-27,58361,12
78270,SCG - Sistema de Contabilidade Geral (SCGI),*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alterar lista fonte destinação no SCGI,Darckles Pereira de Almeida,,,,2023-03-27,58361,1
78220,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Alterar nome da coluna do relatório CLASSE 1 X CLASSE 8 - FORA SISTEMÁTICA CUTE,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-03-24,58361,1
78207,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Anexo 13 - Versão 2023,Marco Antonio Silva Pegado,,,,2023-03-24,58361,3
